,episode_id,url,show_id,show_name,episode_name,season_n,episode_n,type_ep,airstamp,runtime,average_rating,show_type,show_language,show_genres,show_status,showed_in
40,2746963,https://www.tvmaze.com/episodes/2746963/domino-day-1x03-episode-3,54407,Domino Day,Episode 3,1,3,regular,2024-01-31T06:00:00+00:00,44.0,7.6,Scripted,English,"['Thriller', 'Supernatural']",To Be Determined,BBC iPlayer
41,2746964,https://www.tvmaze.com/episodes/2746964/domino-day-1x04-episode-4,54407,Domino Day,Episode 4,1,4,regular,2024-01-31T06:00:00+00:00,42.0,7.6,Scripted,English,"['Thriller', 'Supernatural']",To Be Determined,BBC iPlayer
42,2746965,https://www.tvmaze.com/episodes/2746965/domino-day-1x05-episode-5,54407,Domino Day,Episode 5,1,5,regular,2024-01-31T06:00:00+00:00,42.0,7.7,Scripted,English,"['Thriller', 'Supernatural']",To Be Determined,BBC iPlayer
43,2746966,https://www.tvmaze.com/episodes/2746966/domino-day-1x06-episode-6,54407,Domino Day,Episode 6,1,6,regular,2024-01-31T06:00:00+00:00,41.0,7.7,Scripted,English,"['Thriller', 'Supernatural']",To Be Determined,BBC iPlayer
44,2846418,https://www.tvmaze.com/episodes/2846418/dance-pro-1x31-owning-the-stage,76550,Dance+ Pro,Owning the Stage,1,31,regular,2024-01-31T06:30:00+00:00,,,Reality,Hindi,[],To Be Determined,JioHotstar
45,2760135,https://www.tvmaze.com/episodes/2760135/sled-20x123-devocek-obizat-mozno,43648,След,Девочек обижать можно!,20,123,regular,2024-01-31T09:35:00+00:00,39.0,,Scripted,Russian,"['Drama', 'Crime']",Running,Пятый канал
46,2747088,https://www.tvmaze.com/episodes/2747088/love-endures-1x20-episode-20,69798,Love Endures,Episode 20,1,20,regular,2024-01-31T10:00:00+00:00,45.0,,Scripted,Chinese,['Romance'],Ended,Youku
47,2747089,https://www.tvmaze.com/episodes/2747089/love-endures-1x21-episode-21,69798,Love Endures,Episode 21,1,21,regular,2024-01-31T10:00:00+00:00,45.0,,Scripted,Chinese,['Romance'],Ended,Youku
48,2732124,https://www.tvmaze.com/episodes/2732124/the-third-marriage-1x68-68hoe-gangselan-geu-yeojaneun-an-doebnida,71005,The Third Marriage,68회: 강세란 그 여자는 안 됩니다.,1,68,regular,2024-01-31T10:00:00+00:00,30.0,,Scripted,Korean,['Drama'],Ended,MBC
49,2736647,https://www.tvmaze.com/episodes/2736647/special-case-1x09-episode-9,73884,Special Case,Episode 9,1,9,regular,2024-01-31T10:00:00+00:00,,,Scripted,Arabic,"['Drama', 'Comedy']",Running,Watch iT!
50,2736648,https://www.tvmaze.com/episodes/2736648/special-case-1x10-episode-10,73884,Special Case,Episode 10,1,10,regular,2024-01-31T10:00:00+00:00,,,Scripted,Arabic,"['Drama', 'Comedy']",Running,Watch iT!
51,2744140,https://www.tvmaze.com/episodes/2744140/shanghai-picked-flowers-1x37-episode-37,73952,Shanghai Picked Flowers,Episode 37,1,37,regular,2024-01-31T10:00:00+00:00,45.0,,Scripted,Chinese,['Drama'],Ended,Tencent QQ
52,2744141,https://www.tvmaze.com/episodes/2744141/shanghai-picked-flowers-1x38-episode-38,73952,Shanghai Picked Flowers,Episode 38,1,38,regular,2024-01-31T10:00:00+00:00,45.0,,Scripted,Chinese,['Drama'],Ended,Tencent QQ
53,2761282,https://www.tvmaze.com/episodes/2761282/not-a-murder-story-1x05-episode-05,74429,Not a Murder Story,Episode 05,1,5,regular,2024-01-31T10:00:00+00:00,50.0,,Scripted,Chinese,"['Crime', 'Thriller', 'Mystery']",Ended,CATCHPLAY+
54,2761283,https://www.tvmaze.com/episodes/2761283/not-a-murder-story-1x06-episode-06,74429,Not a Murder Story,Episode 06,1,6,regular,2024-01-31T10:00:00+00:00,50.0,,Scripted,Chinese,"['Crime', 'Thriller', 'Mystery']",Ended,CATCHPLAY+
55,2743366,https://www.tvmaze.com/episodes/2743366/farmen-kjendis-8x17-uke-4-onsdag-del-1,24221,Farmen kjendis,Uke 4: Onsdag - del 1,8,17,regular,2024-01-31T11:00:00+00:00,43.0,,Reality,Norwegian,"['Adventure', 'Nature', 'History']",Running,TV 2 Play
56,2743367,https://www.tvmaze.com/episodes/2743367/farmen-kjendis-8x18-uke-4-onsdag-del-2,24221,Farmen kjendis,Uke 4: Onsdag - del 2,8,18,regular,2024-01-31T11:00:00+00:00,22.0,,Reality,Norwegian,"['Adventure', 'Nature', 'History']",Running,TV 2 Play
57,2811891,https://www.tvmaze.com/episodes/2811891/achter-de-schermen-3x02-fien-germijns-elisabeth-lucie-baeten,72133,Achter De Schermen,Fien Germijns & Elisabeth Lucie Baeten,3,2,regular,2024-01-31T11:00:00+00:00,54.0,,Talk Show,Dutch,[],Running,GoPlay
